date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:12	4226/4226	---M-Z	200	added ('OK')	application/javascript	etag:%221082-5dea1baf30e31-gzip%22	https://templates.iqonic.design/yofit/html/assets/js/charts/dashboard-1.js	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/js/charts/dashboard-1.js	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:14	403228/403228	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226271c-5dea1baf90970%22	https://templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicon.eot?t=1590207869815	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicondf6d.eot	(from https://templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicon.css)
12:01:14	125268/125268	---M--	200	added ('OK')	font/woff2	etag:%221e954-5dea1baf947f0%22	https://templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicon.woff2?t=1590207869815	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicondf6d.woff2	(from https://templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicon.css)
12:01:15	172876/172876	---M--	200	added ('OK')	font/woff	etag:%222a34c-5dea1baf947f0%22	https://templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicon.woff?t=1590207869815	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicondf6d.woff	(from https://templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicon.css)
12:01:15	403056/403056	---MCZ	200	added ('OK')	font/ttf	etag:W/%2262670-5dea1baf947f0%22	https://templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicon.ttf?t=1590207869815	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicondf6d.ttf	(from https://templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicon.css)
12:01:15	1066108/1066108	---M--	200	added ('OK')	image/gif	etag:%2210447c-5dea1baf24311%22	https://templates.iqonic.design/yofit/html/assets/images/loader.gif	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/loader.gif	(from https://templates.iqonic.design/yofit/html/assets/css/backend.css?v=1.0.0)
12:01:16	7564/7564	---M--	200	added ('OK')	image/jpeg	etag:%221d8c-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/03.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/03.jpg	(from https://templates.iqonic.design/yofit/html/backend/trainers.html)
12:01:16	6154/6154	---M--	200	added ('OK')	image/jpeg	etag:%22180a-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/04.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/04.jpg	(from https://templates.iqonic.design/yofit/html/backend/trainers.html)
12:01:16	6754/6754	---M--	200	added ('OK')	image/jpeg	etag:%221a62-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/05.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/05.jpg	(from https://templates.iqonic.design/yofit/html/backend/trainers.html)
12:01:17	1195522/1195522	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22123e02-5dea1baf928b0%22	https://templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicon.svg?t=1590207869815	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicondf6d.svg	(from https://templates.iqonic.design/yofit/html/assets/vendor/remixicon/fonts/remixicon.css)
